"global_step","train-good_full_from_scratch_lr_3e5_beta_3 - _step","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MAX","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e6 - _step","train-good_full_dataset_lr_3e6 - _step__MIN","train-good_full_dataset_lr_3e6 - _step__MAX","train-good_full_dataset_lr_3e6 - losses/vf_loss","train-good_full_dataset_lr_3e6 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e6 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e4 - _step","train-good_full_dataset_lr_3e4 - _step__MIN","train-good_full_dataset_lr_3e4 - _step__MAX","train-good_full_dataset_lr_3e4 - losses/vf_loss","train-good_full_dataset_lr_3e4 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e4 - losses/vf_loss__MAX"
"357920","","","","","","","","","","","","","358","358","358","0.03404104709625244","0.03404104709625244","0.03404104709625244"
"361912","","","","","","","","","","","","","362","362","362","0.025412771850824356","0.025412771850824356","0.025412771850824356"
"362496","353","353","353","0.017653102055191994","0.017653102055191994","0.017653102055191994","","","","","","","","","","","",""
"365996","","","","","","","386","386","386","0.10304999351501465","0.10304999351501465","0.10304999351501465","","","","","",""
"366972","","","","","","","387","387","387","0.11415009945631027","0.11415009945631027","0.11415009945631027","","","","","",""
"369992","","","","","","","390","390","390","0.09461148083209991","0.09461148083209991","0.09461148083209991","","","","","",""
"370688","361","361","361","0.014594100415706635","0.014594100415706635","0.014594100415706635","","","","","","","","","","","",""
"372916","","","","","","","393","393","393","0.11017192900180817","0.11017192900180817","0.11017192900180817","","","","","",""
"373940","","","","","","","394","394","394","0.10952974110841751","0.10952974110841751","0.10952974110841751","","","","","",""
"374048","","","","","","","","","","","","","374","374","374","0.03204049542546272","0.03204049542546272","0.03204049542546272"
"375944","","","","","","","396","396","396","0.11728452146053314","0.11728452146053314","0.11728452146053314","","","","","",""
"386084","","","","","","","","","","","","","386","386","386","0.03800196945667267","0.03800196945667267","0.03800196945667267"
"386496","","","","","","","407","407","407","0.10206032544374466","0.10206032544374466","0.10206032544374466","","","","","",""
"387096","","","","","","","","","","","","","387","387","387","0.04658374935388565","0.04658374935388565","0.04658374935388565"
"387468","","","","","","","408","408","408","0.12515494227409363","0.12515494227409363","0.12515494227409363","","","","","",""
"388480","","","","","","","409","409","409","0.08830178529024124","0.08830178529024124","0.08830178529024124","","","","","",""
"389432","","","","","","","410","410","410","0.09214583784341812","0.09214583784341812","0.09214583784341812","","","","","",""
"390116","","","","","","","","","","","","","390","390","390","0.02891133353114128","0.02891133353114128","0.02891133353114128"
"392432","","","","","","","413","413","413","0.10053976625204086","0.10053976625204086","0.10053976625204086","","","","","",""
